INFO 2019-05-10 21:19:02,389 basehttp 154 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,242 basehttp 154 "GET /xadmin/reversion/revision/ HTTP/1.1" 200 24473
INFO 2019-05-10 21:19:07,641 basehttp 154 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,652 basehttp 154 "GET /static/xadmin/vendor/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,674 basehttp 154 "GET /static/xadmin/vendor/select2/select2.css HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,682 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.css HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,728 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.bootstrap3.css HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,739 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,739 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,746 basehttp 154 "GET /static/xadmin/vendor/bootstrap-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,763 basehttp 154 "GET /static/xadmin/js/xadmin.widget.datetime.js HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,764 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:19:07,777 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.js HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,779 basehttp 154 "GET /static/xadmin/vendor/select2/select2.js HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,838 basehttp 154 "GET /static/xadmin/js/xadmin.widget.select.js HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,843 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,851 basehttp 154 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,861 basehttp 154 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 304 0
INFO 2019-05-10 21:19:07,869 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_zh-Hans.js HTTP/1.1" 304 0
WARNING 2019-05-10 21:19:27,836 log 228 Not Found: /favicon.ico
WARNING 2019-05-10 21:19:27,837 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2082
INFO 2019-05-10 21:19:28,496 basehttp 154 "GET /xadmin HTTP/1.1" 301 0
INFO 2019-05-10 21:19:28,701 basehttp 154 "GET /xadmin/ HTTP/1.1" 200 9818
INFO 2019-05-10 21:19:28,936 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:19:33,058 basehttp 154 "GET /xadmin/xadmin/log/ HTTP/1.1" 200 25635
INFO 2019-05-10 21:19:33,362 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:19:48,852 basehttp 154 "GET /xadmin/reversion/revision/ HTTP/1.1" 200 24473
INFO 2019-05-10 21:19:49,223 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:19:51,378 basehttp 154 "GET /xadmin/ HTTP/1.1" 200 9818
INFO 2019-05-10 21:19:51,684 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
WARNING 2019-05-10 21:21:22,036 log 228 Not Found: /
WARNING 2019-05-10 21:21:22,038 basehttp 154 "GET / HTTP/1.1" 404 2031
